Dataset,Id,Context,Comment,Target,abuse
AbuseEval,86735,,@USER 너도 맛의 왕이야,0,NOTABU
AbuseEval,95686,,#MAGA @USER 🎶 아무도 듣지 않는 것처럼 노래하십시오 ♥️ 상처받은 적이없는 것처럼 사랑하십시오 ✔️ 아무도 보지 않을 때 GOP에 투표하십시오 🙉 그리고 자유당의 더러운 URL을 듣지 마십시오,0,NOTABU
AbuseEval,71446,,"5/5: @USER 이 하원이 모든 캐나다인의 우려에 응답해야 할 때입니다. 캐나다인 5명 중 4명은 더 강력한 총기 규제를 지지하고 정당한 이유가 있습니다.” #guncontrol #cdnpoli #cdnhist""",0,NOTABU
AbuseEval,23958,,@USER Jax의 엄마와 아마도 Ope 외에 그는 내가 가장 좋아하는 사람입니다. 그는 쇼에서 유일한 좋은 사람과 같습니다 😂,0,NOTABU
AbuseEval,28195,,@USER @USER @USER 총기 통제! 그것이 이 아이들이 요구하는 전부입니다!,0,NOTABU
AbuseEval,56117,,@USER @USER @USER @USER ㅋㅋ!!! 그런 넌센스에 BULLSHIT 깃발을 던지다니!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVote이미 URL,1,EXP
AbuseEval,67757,,@USER @USER 맞습니다.,0,NOTABU
AbuseEval,12681,,@USER @USER 보수주의자들이 좌파 모두를 공산주의 안티파 회원으로 연관시키고 싶어할 때처럼요?,1,IMP
AbuseEval,82904,,@USER @USER 젠장할 놈들인가? 남자화장실과 여자화장실이 있어요 하나 골라서 붙이세요 🤔,0,NOTABU
AbuseEval,63236,,@USER 여러분 대부분이 태어나기 전부터 Willie의 팬이었습니다.... 그가 Beto와 함께 집회를 개최하는 것을 사랑합니다.... 정확히 어떤 팬이 분노합니까? 구체적으로 말씀해 주시겠습니까? URL,0,NOTABU
AbuseEval,77665,,@USER Tbh 요즘 사람들이 별로 안 좋아하는데 요즘 사람들과 연락을 안 해서 짜증이 나네요..,1,EXP
AbuseEval,83484,,"남측 관계자 ""정상들, 평양에서 구체적인 비핵화 방안 논의할 것"""" URL #TCOT #MAGA #RedNationRising""",0,NOTABU
AbuseEval,74932,,@USER @USER 얘도 후퍼라는 걸 알 수 있어요,0,NOTABU
AbuseEval,91252,,@USER 타이틀 쫓는 게 더 나은 것 같아,0,NOTABU
AbuseEval,25440,,@USER @USER @USER 그녀? 누구를 가리키는 말입니까? 힐러리? 짜증나는게 뭔지 알아? 버니 지지자들이 힐러리 클린턴을 비난하고 있다. 그녀는 민주당을 위해 돈을 모금하고 그들을 비난하지 않는 실제 민주당원입니다. 그녀는 긍정적인 메시지를 가지고 있습니다. 그렇다면 누가 좌파를 가르는가?,1,IMP
AbuseEval,81613,,@USER 당신이 시온주의자를 지지하는 만큼 친구들이 Metis 권리를 지지하는 것을 보니 기쁩니다. URL,0,NOTABU
AbuseEval,82333,,@USER 네 맞아요 근데 영화가 뭐냐고 물었더니 🤷‍♂️👀,0,NOTABU
AbuseEval,12609,,민주당원이 가진 유일한 것은 트럼프가 #대통령이 되는 것을 막기 위해 거짓말을 하고 지체하는 것뿐입니다. 그들은 최근에 당신을 위해 무엇을 했는가. #트럼프 #캐버노 #MAGA #DEMSUCK,1,EXP
AbuseEval,13017,,@USER 요즘 사죄하고 사교적이네....,0,NOTABU
AbuseEval,18129,,@USER @USER @USER #Windrush & #Grenfell이 당신이 @USER @USER #alloutpolitics #politicslive #PMQs @USER URL임을 증명하는 것처럼 노골적인 #인종차별을 끝내는 업데이트,0,NOTABU
AbuseEval,70380,,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 지금 무슨 일이 일어날지 아세요? 나는 켈리 클락슨의 노래를 들으면서 침대에 누워 울어야 할 것입니다. 감사합니다 표현의 자유 안티파.,0,NOTABU
AbuseEval,12108,,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 당신은 매우 똑똑하지 않습니까? 플린 장군의 선고가 계속해서 일정이 조정되는 이유는 무엇이라고 생각하십니까? URL,1,EXP
AbuseEval,14726,,@USER @USER @USER 폭력적인 좌파/테러리스트를 달래면 예상되는 일입니다. #Kavanaugh확인 #woke,1,EXP
AbuseEval,74358,,@USER 세게 불어라,0,NOTABU
AbuseEval,82599,,@USER @USER @USER 당신이 최대 레벨이라는 뜻입니다. Twitter 사용자이며 아마도 새로운 게임을 시도해야 할 것입니다.,0,NOTABU
AbuseEval,40212,,"@USER @USER 통제된 야당""이 무엇을 의미하는지 설명해주십시오. Bernier는 탈출에 대해 나머지 보수당과 분열했습니다. 왜냐하면 그는 그들이 원하는 것보다 훨씬 더 인종 차별적이고 배제적이기 때문입니다.""",0,NOTABU
AbuseEval,78367,,@USER @USER @USER @USER @USER 억압받는 자들을 위해 일어서는 사회주의 정치. 그리고 반유대주의와 이스라엘에 대한 비판을 혼동한 것은 잘한 일입니다. 당신도 문제의 일부입니다.,0,NOTABU
AbuseEval,66596,,3. 니나 내가 이 책을 오랫동안 읽지 않은 이유 중 하나는 그녀의 성격이 너무 걱정되었기 때문이다. 나는 모두를 믿었어야 했다. Nina는 내가 천 번을 더 죽을 것 같은 빌어먹을 여신입니다. 그녀는 크고 대담하고 사랑스럽고 완벽합니다. 그녀의 아크. 이다. 완벽한.,0,NOTABU
AbuseEval,70999,,.@USER @USER @USER @USER @USER Kavanaugh에 반대표를 던지십시오. 그는 SCOTUS에 적합하지 않으며 여성에 대한 주장과 부실한 재정 문제는 그를 실격시켜야 합니다. #법률이 중요합니다. #미투 #컨트리오버파티 #캐버노 뽑기 #캐버노 그만둬,0,NOTABU
AbuseEval,36026,,"@USER @USER 내가 인종차별주의자가 아니라고 말하는 Ppl은 인종차별주의자야. 넌 인종차별주의자야. 따라해봐""",0,NOTABU
AbuseEval,29439,,@USER Kathy Patriot🗽 당신은 우리의 위대한 대통령인 트럼프를 사랑해야 합니다!!! 미국 철강의 척추!! 그것을 변경! 무역 및 미국인을 위한 모든 것!! #AMERICAFIRST #USA #MAGA #리더십 & #RESPECT #ECONOMY #JOBS #강력함을 통한 평화 #GOD #Bless #트럼프 & #THEUSA 😀 🗽🗽🗽 😀,0,NOTABU
AbuseEval,74477,,@USER 와우 진보주의자들은 정말 유머감각이 없군요🙄,0,NOTABU
AbuseEval,49845,,@USER 난 정말 준비됐어,0,NOTABU
AbuseEval,32305,,@USER 홀리몰리!! 천주교인들이 이것으로 깨어나지 않았다면..... #거짓 예언자 #루나틱,0,NOTABU
AbuseEval,77243,,@USER Lol yes per dina he is there 매일 per claudia per claudia 어떤 말도 기부의 예가 절뚝거리지 않는 한 수의사 보살핌을 받지 못했습니다,0,NOTABU
AbuseEval,73205,,@USER @USER @USER 놀랍네요....안티파랑 똑같습니다. BLM 등등. 소로스는 미국 역사상 최악의 적입니다. 그는 미국을 무너뜨릴 수 있는 유일한 방법은 위닝(withing)이라고 믿습니다. 그리고 그는 맞다. 그러나 그것은 일어날 일이 아닙니다.,0,NOTABU
AbuseEval,47311,,@USER 저도요! 그녀의 결혼식은 최고였습니다! 그녀는 아주 예쁘다!,0,NOTABU
AbuseEval,48553,,@USER @USER 여기에는 충돌이 없습니다. 보지 마십시오. #소로스는 안티파의 난폭한 좌파 의제에도 연루됐다.,0,NOTABU
AbuseEval,75689,,@USER @USER @USER URL 귀하의 모든 발표가 결실을 맺거나 기본적으로 몇 표를 더 얻기 위해 노동당의 아이디어를 훔치는 것입니까?,0,NOTABU
AbuseEval,84102,,영국인 10명 중 4명은 기본적으로 완전한 인종차별주의자입니다. 유권자 10명 중 4명은 보수당에 투표합니다. 우연의 일치!???!???,1,IMP
AbuseEval,10607,,#GUNCONTROL 지지자들은 유권자들에게도 HORRIFIC 2A URL을 사랑한다는 것을 확신시키기 위해 스스로 넘어지는 것을 멈춰야 합니다.,0,NOTABU
AbuseEval,43913,,@USER @USER 안녕하세요! 우리는 당신이 Camila Mendes의 열렬한 팬이라는 것을 사랑합니다! 그녀에 대한 귀하의 트윗을 홍보 자료에 사용해도 괜찮습니까?,0,NOTABU
AbuseEval,98992,,@USER 꺼져,1,EXP
AbuseEval,92056,,@USER 확실히 마가렛 생어(Margaret Sanger) 소수민족 낙태에 대한 지구 학살 철학에 대한 이상한 견해입니다. 가장 고통받는 흑인 인구가 그녀의 의견을 공유하는지 알고 싶습니다.,0,NOTABU
AbuseEval,33853,,"@USER @USER 교도소 시스템이 너무 엉망입니다. 수감자들이 허리케인으로 사망한다면 그들은 왜 의도적으로 살인 가능성이 있는 일을 계속 하고 있는 것일까요? 그들은 루이지애나에서 이것을 했고 500명의 수감자들이 실종되었습니다.""",1,IMP
AbuseEval,75215,,@USER @USER 그녀는 쓸모가 없습니다. 옳은 일을 하려고 노력하지만 결코 따르지 않습니다.,1,EXP
AbuseEval,96218,,#WalkAway Liberals......당신의 파티는 POISON입니다. URL,0,NOTABU
AbuseEval,57013,,@USER Grateful Trump는 백악관에 개가 없습니다. 그는 잔인한 사람입니다.,1,EXP
AbuseEval,20883,,@USER 당신은 거짓말을하고 있습니다. 사실에 충실하십시오. 우리는 지금 그 이상을 지불합니다.,0,NOTABU
AbuseEval,74831,,@USER Trump가 엉덩이를 걷어찼습니다. 너무 재미있습니다.,0,NOTABU
AbuseEval,53264,,@USER @USER @USER 그는 하나의 대통령에 멍청하고 멍청합니다. 1인 2조입니다.,1,EXP
AbuseEval,28204,,#독물부장관 @USER님이 50파운드의 자선 기부를 시도했습니다! @USER가 하는 일입니다!! @USER #Toriesmustgo #DissolveTheUnion URL,0,NOTABU
AbuseEval,42024,,@USER ur 너무 직설적 인 사람👌 dewwane에서 u just talk free ky ap kitnay porrany ho industry mein 그리고 ur 선배님과 함께 모으는 이 퀄리티가 정말 마음에 듭니다💚 #Manmarziyaan 에 대한 아티스트 사랑 🤠👍,0,NOTABU
AbuseEval,84664,,@USER 그리고 이것은 감옥에 있어야 할 광대에게서 온 것입니까?,1,IMP
AbuseEval,54842,,@USER @USER @USER @USER 트위터는 알렉스 존스가 트위터 잭에게 질문을 던진 것에 대한 보복으로 침묵을 지켰습니다 @USER @USER @USER @USER URL,0,NOTABU
AbuseEval,48995,,@USER 당신이 노인이기 때문입니다.,0,NOTABU
AbuseEval,47153,,@USER @USER @USER 방해꾼입니다. 반미주의자. 바리새인. 그들이 무엇을 실행하고 있는지 물어봐도 아무것도 얻지 못합니다. 마가!,1,EXP
AbuseEval,76826,,"@USER @USER 아니요..당신은 여기 있습니다 2는 사물에 대한 Alinskyite Orwellian Leftist Tool&Fool 견해를 나타냅니다..마르크스주의자들과 안티파의 유사한 2U..psst의 99.9%! 그리고 B4U는 다시 파시스트 또는 파시즘이라는 단어를 사용하고 D'Souza의 책 The Big Lie를 읽으십시오...지금 U는 둘 중 하나에 대해 SQUAT를 알고 있습니다..""",0,NOTABU
AbuseEval,27645,,"@USER 기억합니다. :( 그러나 어떻게든 중도주의적 ""안티파-헤이터는 그러한 일을 비난하는 것처럼 보일 수 없습니다.""",0,NOTABU
AbuseEval,64429,,@USER 총기 규제에 효과가 있었다는 뜻인가요? URL,0,NOTABU
AbuseEval,20943,,@USER 내 생각에 WH 또는 Trump의 마음에 마지막으로 떠오르는 것은 April Ryan입니다. 그녀는 아첨을 중단해야 합니다. 그녀는 그녀가 생각하는 것만큼 중요하지 않습니다.,0,NOTABU
AbuseEval,78064,,@USER 원칙주의자들은 #Hypocrickets,0,NOTABU
AbuseEval,14122,,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 잊지 마세요 @USER & 민주당 지지 #Antifa,0,NOTABU
AbuseEval,72353,,@USER 그녀는 아이들에게 가치를 가르치는 아름다운 사람입니다. 그들에게 왕족을 가르치되 그들의 머리에 가지 않도록 하십시오. 리얼 ❤️,0,NOTABU
AbuseEval,39051,,@USER 그를 위해 캠페인을 벌일 안티파 범죄자 아들을 데려오세요.,0,NOTABU
AbuseEval,54546,,@USER @USER 난 안봤고 앞으로도 안볼꺼야 @USER 9.11일화랑 우리가 뭉쳐서 어깨를 나란히 하는 모습을 보니 우리의 모든 문제를 놓고도 자랑스럽긴한데 망할 게임을 하는 사람들은 참지못해 순간 - 토요일에 항의.,0,NOTABU
AbuseEval,50759,,눈물은 1%의 물과 99%의 감정으로 이루어진다.,0,NOTABU
AbuseEval,75992,,"@USER @USER 트럼프는 NRA를 대표하는 총기 규제에 대해 언급합니다. 나는 당신을 실망시키지 않을 것입니다.""라고 그는 말합니다. URL",0,NOTABU
AbuseEval,45068,,@USER 쿨라이드를 너무 많이 마셔서 배가 부른답니다.,0,NOTABU
AbuseEval,17259,,@USER 보유자는 기소되어야 합니다.,0,NOTABU
AbuseEval,95225,,@USER 하지만... 하지만... 두 선수는 모두 여자였습니다. 그리고 둘 다 유색인종 여성이었습니다!,0,NOTABU
AbuseEval,84667,,@USER @USER @USER @USER 기관은 그녀가 행동할 때만 트윗을 허용합니다. 그녀는 창 핥기입니다!!!!,1,EXP
AbuseEval,14574,,"*아이 3명 돌보기* 사람:""그녀가 몇 살이라고 생각하세요?"" ""그녀는 3명의 아이가 있습니다"" 나:*화내지 마세요. 화내지 마. 그들은 모른다. 그들은 모른다 *",0,NOTABU
AbuseEval,23784,,@USER 글쎄요...? URL,0,NOTABU
AbuseEval,93119,,WTC 이것은 위협입니다!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,0,NOTABU
AbuseEval,30115,,"@USER 소화하기 쉬운 컨텐츠입니다. 뉘앙스나 스토리를 이해할 필요도 없습니다. 그들은 ANTIFA의 사진을 보여줄 수 있고 수익을 내기 위해 콘텐츠에 필요한 기본적인 수준의 감정적 반응을 얻을 수 있습니다.""",0,NOTABU
AbuseEval,69281,,@USER @USER 평범한 옛 민주당원을 찾아보십시오. 자유주의자들은 대화를 할 수 없는 사람들입니다.,0,NOTABU
AbuseEval,15322,,@USER 좋은 소식입니다! Old moonbeam 방금 혼수상태에 빠졌습니다! 😂,0,NOTABU
AbuseEval,75089,,@USER OMG 그는 너무 특별합니다,0,NOTABU
AbuseEval,21379,,@USER @USER @USER 트럼프가 누구인지 알려주세요... NARCISSISTIC SOCIOPATH!,1,EXP
AbuseEval,43133,,@USER @USER 불행히도 미국에서는 그런 시스템을 인종차별주의자라고 합니다. 자유주의자들은 시험이 소수 집단에 대한 인종 차별적이라고 믿습니다.,0,NOTABU
AbuseEval,52102,,@USER 알겠습니다! 그녀는 아직 살아 있습니다....하지만 그녀의 경력이 철도에 올랐는지 궁금하십니까? 이상한! 그녀를 사랑했습니다 ... 특히 그날!,0,NOTABU
AbuseEval,59537,,@USER @USER 가이 당신은 항상 존재합니다 ... 내기 이유는 무엇입니까? ㅋ ㅋ ㅋ,0,NOTABU
AbuseEval,44209,,@USER @USER 정말 대단합니다! URL,0,NOTABU
AbuseEval,96664,,@USER 당신은 매우 설득력있는 가족입니다,0,NOTABU
AbuseEval,12559,,@USER 그것은 새로운 것이 아닙니다 그녀는 어쨌든 반대표를 던질 예정이었습니다.....우리는 11월에 자유주의자에게 반대표를 던질 것입니다.... URL,0,NOTABU
AbuseEval,61914,,@USER 버트. 멋진 친구.,0,NOTABU
AbuseEval,32317,,#마가! 당신이 #트럼프를 지지한다면 나를 따르라. 그러면 내가 뒤따를 것이다.,0,NOTABU
AbuseEval,94767,,@USER님 감사합니다!! 드디어 다시 열을 가해도 괜찮을 지경에 이르러서야 너무 행복해,0,NOTABU
AbuseEval,64835,,@USER 트럼프가 맨날 하는 짓 같죠?,0,NOTABU
AbuseEval,41353,,@USER 왜냐하면 백악관의 전 Antifa와 그들이 누군가를 체포하면 그녀와 시민을 체포하지 않기 때문입니다.,0,NOTABU
AbuseEval,52252,,@USER 젠장,1,EXP
AbuseEval,91001,,@USER 잘 했어....그는 큰 패자다,1,EXP
AbuseEval,18495,,@USER 이것의 바닥으로 가자! DM 주시면 우편번호 확인하겠습니다. 우리는 당신을 지원하고 TV가 최대한 빨리 제공해야 하는 최고를 즐길 수 있도록 할 것입니다! *네빈브루스,0,NOTABU
AbuseEval,76680,,@USER @USER @USER @USER 기록에 따르면 Doug Jones를 개인적으로 알고 그는 Bc 상원의원일 뿐입니다. 그는 다음 선거에 나오지 않을 것이다.,0,NOTABU
AbuseEval,88013,,@USER 사장의 심정은 CNN의 심정과 정반대입니다. CNN에 대해 무엇을 말합니까? 그들은 모두 자유주의자입니다.,0,NOTABU
AbuseEval,66349,,"@USER 말 그대로 나치의 펀치, 안티파 펀치, 그들은 동전의 양면과 같은 내러티브입니다."" noooOOoOo 이 그룹 중 하나는 PoC와 유태인을 모두 근절하거나 추방하기를 원하고 다른 하나는 단지 그들을 막고 싶어합니다. 그렇게 하면 이 비교가 이득이 됩니다.""",0,NOTABU
AbuseEval,80561,,@USER @USER 총기 규제에 대한 많은 멍청한 주장이 있지만 이것이 가장 멍청하고 가장 일반적일 수 있습니다.,1,EXP
AbuseEval,16052,,@USER 그녀는 무슨 일이야,0,NOTABU
AbuseEval,49996,,@USER @USER Yall은 정말 지독한 후반전을 보내고 있습니다. Rizzo는 최악의 전반전을 보냈습니다. 그 야구는 발생합니다. 그가 아직 작업해야 할 일이 있습니까? 전력 수치가 떨어졌습니까 .....하지만 그는 언제든지 다시 반등 할 수 있습니다. URL,0,NOTABU
AbuseEval,77086,,@USER 야 너 늙었어!!! 르마오. 추신: Go Pack Go!!!,0,NOTABU
AbuseEval,10972,,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 그렇기 때문에 트럼프 지지자들은 학대를 받지 않고서는 모자조차 쓸 수 없다. 그들이 왼쪽에 있는 동물을 만나면 그들을 공격합니다. 안티파는 공산주의-사회주의-나치 민주당의 지부입니다.,0,NOTABU
AbuseEval,69160,,@USER 님의 웃음으로 충분합니다. 😌,0,NOTABU
AbuseEval,28380,,@USER @USER @USER 글쎄요?,0,NOTABU
AbuseEval,40252,,@USER @USER @USER 우선— 파네라에는 피자도 없습니다.,0,NOTABU
AbuseEval,39907,,@USER @USER @USER 절 죽이지 마세요. 반면 안티파...,0,NOTABU
AbuseEval,16164,,"@USER Shanahan이 이 게임에서 Spoon이 100% 건강하지 않다고 말하는 것을 보셨습니까? 분명히 당신이 거기에 있다면 변명의 여지가 없지만 게임 중에 보인 ""모든 것이 운명""이 아닐 수도 있습니다. 아마도 그는 여전히 꽤 좋습니다.",0,NOTABU
AbuseEval,52824,,@USER 굿걸 @USER,0,NOTABU
AbuseEval,77294,,@USER @USER 그녀는 못생긴 검은 마음의 트롤 URL입니다,1,EXP
AbuseEval,13420,,@USER @USER @USER 당신은 분명히 포켓몬 마스터가 아닙니다! 희귀 사탕만 해도 거의 400개 있습니다. 150종 이상의 레거시 이동 세트 포켓몬. 컬렉션 조각으로 보관하고 싶은 것과 게임에서 가치를 두는 것에 따라 다릅니다.,0,NOTABU
AbuseEval,16940,,@USER 과장된 광고를 믿지 마십시오.,0,NOTABU
AbuseEval,83816,,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 모든 새로운 MAGA를 팔로우했습니다. 팔로우 부탁드립니다.,0,NOTABU
AbuseEval,99156,,##선덜랜드에서 보고된 #시위는 #축구 팬이고 #깃발에 #WestBrom이라고 적힌 #깃발이 있다는 것 외에는?! 타이핑을 하고 있는데도 더 나빠지는 지금?! #MAGA #MEGA #MBGA #MCGA #보수당 #애국자 #무슬림 #극좌파 #좌파 (잃을 운명이지만 깨닫지 못하는) # 남북 전쟁이 곧? URL,0,NOTABU
AbuseEval,11255,,"@USER Liberals는 여전히 그에게 투표할 것입니다. 그들은 그의 발언이 맥락에 맞지 않고 그가 여전히 정직한 사람이라고 주장할 것입니다.""",0,NOTABU
AbuseEval,28841,,@USER @USER 당신에게서 구원받았습니다! 마가!,0,NOTABU
AbuseEval,79060,,@USER 당신은 명예와 품위를 기르고 있습니까? 사진 속 저 요요? 그건 부자야.,0,NOTABU
AbuseEval,71682,,@USER 잘 봤습니다.,0,NOTABU
AbuseEval,17577,,@USER 여신이다,0,NOTABU
AbuseEval,27503,,"@USER Omg xD 최악의(또는 최고, 제 경우에는 그것이 나를 웃게 만든 최고의 원인입니다) 부분은 그녀가 그가 죽었냐고 묻는 것이었습니다. 아파요? 불쌍한 놈..."" 그리고 나머지는 ""....아니, 그는 고통을 겪지 않아"" ""그래서 그는 죽었어!"" ""...그래, 꽤 죽었어""""라고 서 있습니다.",0,NOTABU
AbuseEval,59998,,"@USER 당신은 아마도 안전하지 않다고 느끼는 모든 SJW 눈송이가 ""그림자 속에 숨어 있는 보수주의자들이 있을 수 있는 곳에서 일하는 것을 상상할 수 있을 것입니다. 보수주의자들은 이제 21세기의 Ruskies입니다.""",0,NOTABU
AbuseEval,81119,,@USER @USER 저도 5월을 당신과 같은 시각으로 봅니다. 심지어 지난 선거도 보수당이 아니라 그녀에 대한 것이었다. 곧 토리당 파티에 분열이 올 것입니다!,0,NOTABU
AbuseEval,28812,,"@USER 이 모든 것을 얻었습니다 😢 젠장, 이 혐오자들이 당신을 이유 없이 삭제합니다... URL",0,NOTABU
AbuseEval,84131,,@USER 캐나다 자유주의자들이 트뤼도에게 이 비용을 지불한다면 실제로 그를 비난할 것이라고 생각하십니까? 아니면 표준에 따라 우리를 밀어내겠습니까?,0,NOTABU
AbuseEval,23179,,@USER 지난 4개월 동안 매일 Josh Gordon에 대해 모든 사람에게 경고했습니다. 나는 당신이 오늘 일어난 일에 대해 나만큼 충격을 받았을 것이라고 확신합니다.,0,NOTABU
AbuseEval,28601,,@USER @USER @USER 진보주의자들은 왜 글을 못 읽나요???? 다시 읽기 URL,0,NOTABU
AbuseEval,64776,,@USER SJSHSJ 그게 내 직업이야,0,NOTABU
AbuseEval,95712,,@USER 그들은 아이티에 대해 이야기합니까?,0,NOTABU
AbuseEval,69972,,@USER @USER @USER NO COLLUSION의 어떤 부분을 이해하지 못하시나요??? 이것이 당신이 듀오크라트인 이유입니다,1,EXP
AbuseEval,37115,,@USER 그는 매우 능숙합니다😂😂,0,NOTABU
AbuseEval,80696,,@USER 대단하십니다 💛💛💛,0,NOTABU
AbuseEval,68163,,@USER Fist 펌프는 군대용이었습니다.,0,NOTABU
AbuseEval,96789,,"@USER 파라칸이 불법적인 값을 하는 이유가 그가 흑인이거나 무슬림이기 때문이라면 그를 혐오할 이유가 될 것입니다. 그의 불법적인 가치는 단순히 그의 지지자들처럼 나쁜 성격의 결과라고 생각합니다!""",1,IMP
AbuseEval,68629,,@USER 좌파 민주당원들이 반대파 반대파와 함께 거리에서 폭동을 일으키도록 내버려 두십시오.,0,NOTABU
AbuseEval,66109,,@USER 캐나다는 총기 규제가 엄격하다고 생각했습니다. 무슨 일이 일어나고 있는지 이해하도록 도와주세요.,0,NOTABU
AbuseEval,19419,,@USER 그들은 보수를 좋아하지 않기 때문에 사람들을 팔로우하는 것을 원하지 않습니다! 트위터의 관리가 얼마나 편향되어 있는지 지겹습니다. #TwitterLeftBias,0,NOTABU
AbuseEval,32942,,@USER님 인생을 살고 계시네요😑,0,NOTABU
AbuseEval,74285,,@USER 지금과 중간고사 사이에 모든 #민주당이 유색인종을 지지한다는 말을 하기를 바라는 것이 매우 중요합니다. 아시다시피 이는 거짓입니다. 어떻게 하면 알아야 할 사람들에게 더 널리 퍼질 수 있습니까? #MAGA #NAACP,0,NOTABU
AbuseEval,77319,,@USER @USER ANTIFA는 후보자가 지거나 스팽키가 탄핵될 경우 포드 교수에게 살해 위협을 가하거나 폭력을 위협하지 않습니다.,1,IMP
AbuseEval,30517,,@USER @USER @USER ANTIFA 친구들을 보거나 들었습니까?,0,NOTABU
AbuseEval,69077,,@USER @USER antifa의 경우 약간의 방망이를 가져 가라. 당신을 위해 좋은 - 더 많은 사람들이 그런 종류의 일을해야합니다.,0,NOTABU
AbuseEval,67758,,@USER님 제목이 조금 무섭네요. ;-),0,NOTABU
AbuseEval,35944,,@USER >아프리카 한복판에서 HIV와 말라리아 퇴치 행운을 빕니다,0,NOTABU
AbuseEval,48223,,@USER @USER 오늘 내가 목격한 FCP 자원 봉사자와 Tory 자원 봉사자의 유일한 상호 작용은 우리 플로트를 퍼레이드 뒤쪽으로 옮기라고 요구하는 것뿐이었습니다. #ableg #cdnpoli,0,NOTABU
AbuseEval,47168,,@USER 그리고 누가 일을 끝내는 것 같습니다.,0,NOTABU
AbuseEval,53947,,@USER 재생 목록 URL에 비디오를 추가했습니다. Combat mon frere vs Ismael et Maga 암살자 vs David le boxer(YFC 2),0,NOTABU
